12,782.14,3149.75
13,904.75,2994.94
14,1041.15,2813.74
15,1172.60,2662.24
16,1324.93,2490.32
17,1469.40,2332.26
18,1630.40,2176.57
19,1793.35,2010.24
20,1958.43,1868.83
21,2139.37,1702.86
22,2308.55,1566.30
23,2502.93,1415.01
24,2683.82,1271.75
25,2881.01,1145.69
26,3082.89,993.41
27,3275.02,889.48
28,3500.25,744.73
29,3689.65,641.53
30,3927.05,536.71
31,4134.83,406.29
32,4355.67,356.56
33,4609.37,202.24
34,4782.15,166.68
36,²ã
2502.87,2503.42
2055.38,2246.19
2,27.90,4906.00
3,49.51,4727.71
4,102.82,4531.20
5,145.05,4400.95
6,200.70,4192.67
7,279.96,4046.68
8,344.95,3876.95
9,440.16,3694.81
10,533.22,3550.51
11,631.05,3365.20
12,751.03,3211.53
13,860.05,3049.83
14,990.32,2877.21
15,1122.52,2732.05
16,1255.80,2559.59
17,1407.76,2408.67
18,1549.70,2255.94
19,1710.06,2091.99
20,1871.33,1955.58
21,2031.23,1794.56
22,2211.80,1652.82
23,2377.94,1515.95
24,2564.03,1361.05
25,2750.62,1244.35
26,2930.49,1095.93
27,3140.43,973.49
28,3322.00,862.33
29,3535.08,717.22
30,3744.64,638.78
31,3934.66,507.86
32,4184.43,407.72
33,4367.88,350.17
34,4613.38,197.31
35,4847.63,170.66
37,²ã
2539.52,2539.18
2162.71,2132.67
2,27.70,4924.50
3,48.12,4701.12
4,97.05,4588.83
5,143.21,4391.13
6,188.93,4226.73
7,268.32,4088.06
8,333.97,3891.88
9,413.95,3748.90
10,514.41,3588.16
11,601.64,3410.10
12,712.95,3271.19
13,827.77,3099.21
14,938.91,2940.42
15,1073.83,2797.17
16,1201.02,2625.27
17,1336.31,2482.77
18,1487.50,2331.03
19,1625.96,2169.33
20,1786.36,2037.94
21,1946.44,1880.07
22,2101.01,1736.12
23,2280.77,1609.66
24,2445.77,1451.31
25,2621.66,1331.04
26,2814.38,1201.39
27,2984.07,1055.68
28,3185.17,959.36
29,3380.20,822.03
30,3560.21,705.45
31,3790.59,628.39
32,3974.37,481.74
33,4181.77,411.96
34,4425.52,338.72
35,4591.86,195.42
36,4865.94,174.68
38,²ã
2557.33,2556.29
2079.29,2236.08
